pitcher_id,pitch_type,pitch_count,num_clusters,top_cluster,top_cluster_pct,top_3_clusters_pct,top_5_clusters_pct,concentration,entropy,consistency_score,num_clusters_used,cluster_rank1,cluster_rank1_pct,cluster_rank2,cluster_rank2_pct,cluster_rank3,cluster_rank3_pct
687396,FS,40,23,cube4_cluster0,17.5,37.5,52.5,17.5,2.8716371034770662,17.5,23,cube4_cluster0,17.5,cube57_cluster0,10.0,cube22_cluster0,10.0
687396,SL,24,18,cube3_cluster0,12.5,29.159999999999997,45.81999999999999,12.5,2.810423869893609,12.5,18,cube3_cluster0,12.5,cube78_cluster1,8.33,cube59_cluster1,8.33
687863,FF,80,35,cube5_cluster0,12.5,32.5,45.0,12.5,3.182711840990766,12.5,35,cube5_cluster0,12.5,cube4_cluster0,11.25,cube22_cluster0,8.75
687863,ST,40,26,cube4_cluster0,10.0,25.0,40.0,10.0,3.116694254317525,10.0,26,cube4_cluster0,10.0,cube13_cluster0,7.5,cube3_cluster0,7.5
688297,FC,16,11,cube5_cluster0,18.75,43.75,62.5,18.75,2.3066687254045313,18.75,11,cube5_cluster0,18.75,cube13_cluster0,12.5,cube22_cluster0,12.5
688297,FF,40,26,cube4_cluster0,15.0,30.0,40.0,15.0,3.0735419434497575,15.0,26,cube4_cluster0,15.0,cube23_cluster0,10.0,cube58_cluster0,5.0
688297,SI,32,21,cube4_cluster0,15.62,34.38,46.88,15.62,2.876550289053397,15.62,21,cube4_cluster0,15.62,cube67_cluster0,9.38,cube5_cluster0,9.38
689254,FC,16,12,cube5_cluster0,18.75,43.75,56.25,18.75,2.3933121229745242,18.75,12,cube5_cluster0,18.75,cube4_cluster0,12.5,cube59_cluster1,12.5
689254,ST,8,6,cube4_cluster0,37.5,62.5,87.5,37.5,1.6674619334292948,37.5,6,cube4_cluster0,37.5,cube52_cluster0,12.5,cube34_cluster0,12.5
689690,CH,104,35,cube4_cluster0,13.46,31.73,44.230000000000004,13.46,3.18449968878241,13.46,35,cube4_cluster0,13.46,cube5_cluster0,10.58,cube22_cluster0,7.69
689690,FF,64,31,cube4_cluster0,12.5,29.69,43.75,12.5,3.152293742999506,12.5,31,cube4_cluster0,12.5,cube14_cluster0,9.38,cube13_cluster0,7.81
