pitcher_id,pitch_a,cluster_a,pitch_b,cluster_b,same_cluster
593423,FF,cube12_cluster0,SI,cube12_cluster0,True
593423,FS,cube12_cluster0,SI,cube12_cluster0,True
593576,CH,cube12_cluster0,FF,cube13_cluster0,True
593576,CH,cube12_cluster0,FS,cube12_cluster0,True
593576,CH,cube12_cluster0,SI,cube13_cluster0,True
593576,CH,cube12_cluster0,SL,cube22_cluster0,False
593576,FF,cube13_cluster0,FS,cube12_cluster0,False
593576,FF,cube13_cluster0,SI,cube13_cluster0,True
593576,FF,cube13_cluster0,SL,cube22_cluster0,False
593576,FS,cube12_cluster0,SI,cube13_cluster0,False
593576,FS,cube12_cluster0,SL,cube22_cluster0,False
593576,SI,cube13_cluster0,SL,cube22_cluster0,False
593958,CH,cube12_cluster0,FC,cube23_cluster0,False
593958,CH,cube12_cluster0,FF,cube13_cluster0,True
593958,CH,cube12_cluster0,PO,cube12_cluster0,True
593958,CH,cube12_cluster0,SI,cube13_cluster0,True
593958,FC,cube23_cluster0,FF,cube13_cluster0,False
593958,FC,cube23_cluster0,PO,cube12_cluster0,False
593958,FC,cube23_cluster0,SI,cube13_cluster0,False
593958,FF,cube13_cluster0,PO,cube12_cluster0,True
593958,FF,cube13_cluster0,SI,cube13_cluster0,True
593958,PO,cube12_cluster0,SI,cube13_cluster0,True
593974,CH,cube12_cluster0,FF,cube3_cluster0,False
593974,CH,cube12_cluster0,SI,cube3_cluster0,False
593974,CH,cube12_cluster0,SL,cube22_cluster0,False
593974,FF,cube3_cluster0,SI,cube3_cluster0,True
594798,CH,cube13_cluster0,FF,cube14_cluster0,False
595014,FC,cube23_cluster0,FF,cube13_cluster0,False
595014,FC,cube23_cluster0,SI,cube13_cluster0,False
595014,FF,cube13_cluster0,SI,cube13_cluster0,True
595345,FC,cube13_cluster0,FF,cube13_cluster0,True
595345,FC,cube13_cluster0,PO,cube13_cluster0,True
595345,FF,cube13_cluster0,PO,cube13_cluster0,True
595897,CH,cube13_cluster0,FF,cube13_cluster0,True
595897,CH,cube13_cluster0,SI,cube13_cluster0,True
595897,FF,cube13_cluster0,SI,cube13_cluster0,True
595928,CH,cube12_cluster0,FC,cube23_cluster0,False
595928,CH,cube12_cluster0,FF,cube13_cluster0,True
595928,FC,cube23_cluster0,FF,cube13_cluster0,False
596001,CH,cube12_cluster0,FF,cube13_cluster0,True
596001,CH,cube12_cluster0,SI,cube13_cluster0,True
596001,FF,cube13_cluster0,SI,cube13_cluster0,True
596112,FC,cube51_cluster0,SL,cube57_cluster0,False
596112,FF,cube4_cluster0,FS,cube3_cluster0,False
596133,CH,cube13_cluster0,FC,cube23_cluster0,False
596133,CH,cube13_cluster0,FF,cube13_cluster0,True
596133,CH,cube13_cluster0,SL,cube22_cluster0,False
596133,FC,cube23_cluster0,FF,cube13_cluster0,False
596133,FC,cube23_cluster0,SL,cube22_cluster0,True
596133,FF,cube13_cluster0,SL,cube22_cluster0,False
596271,FF,cube13_cluster0,SI,cube13_cluster0,True
596295,CH,cube12_cluster0,FC,cube23_cluster0,False
596295,CH,cube12_cluster0,FF,cube12_cluster0,True
596295,CH,cube12_cluster0,SI,cube13_cluster0,True
596295,FC,cube23_cluster0,FF,cube12_cluster0,False
596295,FC,cube23_cluster0,SI,cube13_cluster0,False
596295,FF,cube12_cluster0,SI,cube13_cluster0,True
600917,CU,cube72_cluster0,SL,cube65_cluster1,False
600917,FF,cube12_cluster0,SI,cube12_cluster0,True
601713,FF,cube12_cluster0,FS,cube3_cluster0,True
601713,FF,cube12_cluster0,SI,cube13_cluster0,True
601713,FS,cube3_cluster0,SI,cube13_cluster0,True
605130,CH,cube14_cluster0,FF,cube14_cluster0,True
605130,CH,cube14_cluster0,PO,cube14_cluster0,True
605130,CH,cube14_cluster0,SI,cube14_cluster0,True
605130,CU,cube73_cluster0,ST,cube59_cluster2,False
605130,FF,cube14_cluster0,PO,cube14_cluster0,True
605130,FF,cube14_cluster0,SI,cube14_cluster0,True
605130,PO,cube14_cluster0,SI,cube14_cluster0,True
605135,CH,cube13_cluster0,FC,cube23_cluster0,False
605135,CH,cube13_cluster0,FF,cube13_cluster0,True
605135,CH,cube13_cluster0,FS,cube13_cluster0,True
605135,CH,cube13_cluster0,SI,cube13_cluster0,True
605135,CU,cube72_cluster1,ST,cube73_cluster0,True
605135,FC,cube23_cluster0,FF,cube13_cluster0,False
605135,FC,cube23_cluster0,FS,cube13_cluster0,False
605135,FC,cube23_cluster0,SI,cube13_cluster0,False
605135,FF,cube13_cluster0,FS,cube13_cluster0,True
605135,FF,cube13_cluster0,SI,cube13_cluster0,True
605135,FS,cube13_cluster0,SI,cube13_cluster0,True
605154,CH,cube13_cluster0,FF,cube4_cluster0,True
605177,CH,cube12_cluster0,FF,cube12_cluster0,True
605177,CH,cube12_cluster0,SI,cube3_cluster0,True
605177,FF,cube12_cluster0,SI,cube3_cluster0,True
605182,CH,cube4_cluster0,FF,cube14_cluster0,False
605182,CH,cube4_cluster0,SI,cube13_cluster0,True
605182,CU,cube66_cluster0,ST,cube73_cluster0,True
605182,FF,cube14_cluster0,SI,cube13_cluster0,True
605218,CH,cube4_cluster0,FF,cube13_cluster0,False
605242,CH,cube13_cluster0,FF,cube13_cluster0,True
605242,CH,cube13_cluster0,SI,cube13_cluster0,True
605242,CU,cube73_cluster0,ST,cube66_cluster0,True
605242,FF,cube13_cluster0,SI,cube13_cluster0,True
605280,FF,cube12_cluster0,SI,cube12_cluster0,True
605288,CH,cube13_cluster0,FF,cube4_cluster0,True
605288,CH,cube13_cluster0,SI,cube13_cluster0,True
605288,FF,cube4_cluster0,SI,cube13_cluster0,True
605347,CH,cube12_cluster0,FF,cube4_cluster0,True
605347,CH,cube12_cluster0,PO,cube13_cluster0,True
605347,CH,cube12_cluster0,SI,cube4_cluster0,True
605347,FF,cube4_cluster0,PO,cube13_cluster0,True
605347,FF,cube4_cluster0,SI,cube4_cluster0,True
605347,PO,cube13_cluster0,SI,cube4_cluster0,True
605400,CH,cube13_cluster0,FC,cube24_cluster0,False
605400,CH,cube13_cluster0,FF,cube14_cluster0,True
605400,CH,cube13_cluster0,SI,cube14_cluster0,True
605400,FC,cube24_cluster0,FF,cube14_cluster0,False
605400,FC,cube24_cluster0,SI,cube14_cluster0,False
605400,FF,cube14_cluster0,SI,cube14_cluster0,True
605452,CH,cube13_cluster0,FF,cube13_cluster0,True
605452,CH,cube13_cluster0,SI,cube13_cluster0,True
605452,FF,cube13_cluster0,SI,cube13_cluster0,True
605483,CH,cube12_cluster0,FF,cube13_cluster0,True
605483,CH,cube12_cluster0,SL,cube23_cluster0,False
605483,FF,cube13_cluster0,SL,cube23_cluster0,False
605488,CH,cube12_cluster0,FC,cube23_cluster0,False
605488,CH,cube12_cluster0,FF,cube4_cluster0,False
605507,CH,cube12_cluster0,FF,cube12_cluster0,True
605513,CH,cube13_cluster0,FF,cube23_cluster0,False
605513,CH,cube13_cluster0,SI,cube13_cluster0,True
605513,CU,cube73_cluster0,ST,cube58_cluster0,False
605513,FF,cube23_cluster0,SI,cube13_cluster0,False
605513,SL,cube51_cluster0,ST,cube58_cluster0,True
605540,CH,cube12_cluster0,FC,cube23_cluster0,False
605540,CH,cube12_cluster0,FF,cube13_cluster0,True
605540,CH,cube12_cluster0,SI,cube13_cluster0,True
605540,CU,cube65_cluster0,ST,cube57_cluster0,True
605540,FC,cube23_cluster0,FF,cube13_cluster0,False
605540,FC,cube23_cluster0,SI,cube13_cluster0,False
605540,FF,cube13_cluster0,SI,cube13_cluster0,True
606160,FF,cube13_cluster0,FS,cube13_cluster0,True
606160,FF,cube13_cluster0,SI,cube14_cluster0,True
606160,FS,cube13_cluster0,SI,cube14_cluster0,False
606303,CH,cube13_cluster0,FC,cube23_cluster0,False
606303,CH,cube13_cluster0,FF,cube13_cluster0,True
606303,CH,cube13_cluster0,SI,cube13_cluster0,True
606303,FC,cube23_cluster0,FF,cube13_cluster0,False
606303,FC,cube23_cluster0,SI,cube13_cluster0,False
606303,FF,cube13_cluster0,SI,cube13_cluster0,True
606930,FF,cube13_cluster0,FS,cube12_cluster0,True
606965,FF,cube3_cluster0,SI,cube4_cluster0,True
606996,CH,cube13_cluster0,FF,cube13_cluster0,True
606996,CH,cube13_cluster0,FS,cube13_cluster0,True
606996,CH,cube13_cluster0,SI,cube13_cluster0,True
606996,CH,cube13_cluster0,SL,cube23_cluster0,False
606996,FF,cube13_cluster0,FS,cube13_cluster0,True
606996,FF,cube13_cluster0,SI,cube13_cluster0,True
606996,FF,cube13_cluster0,SL,cube23_cluster0,False
606996,FS,cube13_cluster0,SI,cube13_cluster0,True
606996,FS,cube13_cluster0,SL,cube23_cluster0,False
606996,SI,cube13_cluster0,SL,cube23_cluster0,False
607067,CH,cube13_cluster0,FC,cube23_cluster0,False
607067,CH,cube13_cluster0,FF,cube13_cluster0,True
607067,CH,cube13_cluster0,PO,cube4_cluster0,False
607067,CH,cube13_cluster0,SI,cube13_cluster0,True
607067,CU,cube66_cluster0,SL,cube51_cluster0,False
607067,CU,cube66_cluster0,ST,cube66_cluster0,True
607067,FC,cube23_cluster0,FF,cube13_cluster0,False
607067,FC,cube23_cluster0,SI,cube13_cluster0,False
607067,FF,cube13_cluster0,PO,cube4_cluster0,True
607067,FF,cube13_cluster0,SI,cube13_cluster0,True
607067,PO,cube4_cluster0,SI,cube13_cluster0,True
607067,SL,cube51_cluster0,ST,cube66_cluster0,False
607074,CH,cube12_cluster0,FC,cube13_cluster0,True
607074,CH,cube12_cluster0,FF,cube3_cluster0,False
607074,CH,cube12_cluster0,SI,cube13_cluster0,True
607074,CU,cube72_cluster0,SL,cube58_cluster0,False
607074,FC,cube13_cluster0,FF,cube3_cluster0,False
607074,FC,cube13_cluster0,SI,cube13_cluster0,True
607074,FF,cube3_cluster0,SI,cube13_cluster0,False
607179,FF,cube13_cluster0,FS,cube3_cluster0,True
607200,CH,cube13_cluster0,FC,cube23_cluster0,False
607200,CH,cube13_cluster0,FF,cube13_cluster0,True
607200,CH,cube13_cluster0,SI,cube13_cluster0,True
607200,FC,cube23_cluster0,FF,cube13_cluster0,False
607200,FC,cube23_cluster0,SI,cube13_cluster0,False
607200,FF,cube13_cluster0,SI,cube13_cluster0,True
607259,FC,cube22_cluster0,FF,cube12_cluster0,False
607259,FC,cube22_cluster0,PO,cube12_cluster0,False
